responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field
1840	1840	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
1842	1842	09/10/2015	09/10/2015	complete	Yes	1	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Director/VP of Research	Biology
1843	1843	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Student	Biology
1844	1844	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	Yes	No	PhD Student	Medicine
1851	1851	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	I am unsure	Yes	Yes	No	No	No	No	Other (please specify)	Other
1881	1881	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Professor	Chemistry
1888	1888	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Biology
1890	1890	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Biology
1910	1910	09/10/2015	09/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	I can't remember	I can't remember	Laboratory Director/Head	Earth and Environmental Science
1911	1911	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	I don't know	I am unsure	90%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Student	Biology
1917	1917	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	80%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Professor	Medicine
1931	1931	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	0	0	0	0	1	I don't know	I am unsure	40%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Materials Science
1934	1934	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	No	I can't remember	Yes	I can't remember	No	No	Other (please specify)	Other
1937	1937	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	40%	"...better than for other scientific fields on average."""	Yes	No	Yes	No	Yes	Yes	Associate professor/Lecturer	Earth and Environmental Science
1938	1938	09/10/2015	09/10/2015	complete	Yes	0	0	0	1	Very familiar	0	1	0	1	1	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	I can't remember	No	No	No	No	Post-doctoral Fellow	Medicine
1949	1949	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Technician/Research Assistant	Biology
1951	1951	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Biology
1954	1954	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	60%	I am unsure	Yes	Yes	No	No	No	No	Senior Scientist	Biology
1958	1958	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	No	I can't remember	No	I can't remember	No	I can't remember	PhD Student	Biology
1960	1960	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
1961	1961	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Biology
1969	1969	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Research Scientist	Materials Science
1972	1972	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Professor	Biology
1975	1975	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Research Scientist	Other
1976	1976	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other
1981	1981	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	I can't remember	Associate professor/Lecturer	Biology
1982	1982	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Senior Scientist	Biology
1986	1986	09/10/2015	09/10/2015	complete	Yes	0	0	0	1	Somewhat familiar	0	0	0	1	0	0	There is no crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	Student	Biology
1989	1989	09/10/2015	09/10/2015	complete	Yes	1	1	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Physics
1992	1992	09/10/2015	09/10/2015	complete	Yes	0	0	0	1	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
1993	1993	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology
2004	2004	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Senior Scientist	Medicine
2007	2007	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
2009	2009	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	Yes	No	No	Associate professor/Lecturer	Other
2011	2011	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	I can't remember	No	No	No	Medical Professional/Doctor	Medicine
2021	2021	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	PhD Student	Other
2042	2042	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Post-doctoral Fellow	Biology
2050	2050	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	I am unsure	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	Yes	Professor	Other
2054	2054	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	No	Technician/Research Assistant	Chemistry
2055	2055	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	Yes	No	Yes	No	No	Post-doctoral Fellow	Astronomy and planetary science
2058	2058	09/10/2015	10/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	I am unsure	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Biology
2062	2062	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Biology
2084	2084	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a slight crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Principal Investigator	Medicine
2089	2089	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Research Scientist	Biology
2093	2093	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	I am unsure	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	Yes	No	PhD Student	Medicine
2097	2097	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Medicine
2104	2104	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	I am unsure	60%	I am unsure	Yes	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Post-doctoral Fellow	Biology
2108	2108	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Associate professor/Lecturer	Medicine
2118	2118	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	1	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	Yes	No	Post-doctoral Fellow	Biology
2119	2119	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	Yes	No	No	Research Scientist	Earth and Environmental Science
2132	2132	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	1	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Professor	Earth and Environmental Science
2134	2134	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Medical Professional/Doctor	Medicine
2139	2139	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	1	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	No	No	No	Yes	No	No	Principal Investigator	Medicine
2154	2154	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Laboratory Director/Head	Biology
2155	2155	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Other
2177	2177	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Biology
2178	2178	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	I don't know	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Medical Professional/Doctor	Medicine
2187	2187	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	Yes	Associate professor/Lecturer	Medicine
2190	2190	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Biology
2196	2196	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Medical Professional/Doctor	Medicine
2198	2198	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Medicine
2207	2207	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Chemistry
2219	2219	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Other (please specify)	Biology
2221	2221	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is no crisis of reproducibility	Too much	30%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Research Scientist	Medicine
2222	2222	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	No	Professor	Other
2232	2232	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Research Scientist	Biology
2234	2234	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	Yes	No	Professor	Medicine
2240	2240	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Senior Scientist	Biology
2241	2241	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
2247	2247	09/10/2015	09/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	I am unsure	70%	I am unsure	No	Yes	No	No	No	No	PhD Student	Biology
2249	2249	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	No	Associate professor/Lecturer	Biology
2250	2250	09/10/2015	09/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	I am unsure	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Laboratory Director/Head	Chemistry
2257	2257	09/10/2015	11/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	80%	I am unsure	Yes	No	No	No	No	No	PhD Student	Biology
2283	2283	09/10/2015	10/10/2015	complete	Yes	0	0	0	1	Not very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Too much	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	Principal Investigator	Chemistry
2285	2285	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
2287	2287	09/10/2015	11/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Engineering
2288	2288	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	No	No	No	I can't remember	I can't remember	I can't remember	Post-doctoral Fellow	Biology
2293	2293	09/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	I am unsure	10%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology
2313	2313	09/10/2015	09/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Student	Earth and Environmental Science
2352	2352	09/10/2015	09/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Staff Scientist	Other
2353	2353	09/10/2015	09/10/2015	complete	Yes	1	1	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Associate professor/Lecturer	Biology
2366	2366	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Laboratory Director/Head	Other
2371	2371	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Senior Scientist	Biology
2378	2378	10/10/2015	10/10/2015	complete	Yes	0	0	1	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...better than for other scientific fields on average."""	Yes	No	No	No	Yes	No	Professor	Earth and Environmental Science
2381	2381	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Professor	Chemistry
2394	2394	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	1	0	There is a slight crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	I can't remember	No	Associate professor/Lecturer	Other
2396	2396	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Student	Other
2404	2404	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	1	0	There is a significant crisis of reproducibility	Not enough	10%	I am unsure	Yes	Yes	No	No	Yes	No	Other (please specify)	Materials Science
2416	2416	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	I can't remember	No	Post-doctoral Fellow	Biology
2429	2429	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Post-doctoral Fellow	Chemistry
2430	2430	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	No	No	Yes	Yes	Post-doctoral Fellow	Medicine
2442	2442	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Not very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology
2448	2448	10/10/2015	10/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Research Scientist	Medicine
2482	2482	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology
2546	2546	10/10/2015	10/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
2550	2550	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	No	Professor	Chemistry
2551	2551	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	No	No	No	No	PhD Student	Materials Science
2553	2553	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
2558	2558	10/10/2015	10/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	I don't know	I am unsure	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	Principal Investigator	Other
2564	2564	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	PhD Student	Physics
2568	2568	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	Senior Scientist	Biology
2573	2573	10/10/2015	10/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	No	Yes	Principal Investigator	Biology
2580	2580	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	I am unsure	40%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	I can't remember	PhD Student	Other
2602	2602	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Other
2608	2608	10/10/2015	10/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
2609	2609	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Other
2611	2611	10/10/2015	10/10/2015	complete	Yes	0	0	1	0	Not very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	60%	I am unsure	Yes	I can't remember	No	No	No	No	Technician/Research Assistant	Biology
2613	2613	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
2615	2615	10/10/2015	10/10/2015	complete	Yes	0	0	1	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Other
2620	2620	10/10/2015	10/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
2621	2621	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	Too much	30%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
2622	2622	10/10/2015	10/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
